Month,Profit/Loss $,Is Winning,Trade_Count
2024-04,-590.3528337887229,0.15789473684210525,19
2024-05,-46.74899924394974,0.34375,32
2024-06,507.91702170736494,0.4782608695652174,23
2024-07,274.8368856482443,0.41935483870967744,31
2024-08,-222.11412037628682,0.25,20
2024-09,774.0753904337914,0.5185185185185185,27
2024-10,-40.35421264707638,0.37037037037037035,27
2024-11,870.3620146272146,0.45454545454545453,33
2024-12,190.3117822770547,0.4444444444444444,27
2025-01,534.7468975967597,0.47058823529411764,17
2025-02,388.95619190403147,0.36363636363636365,22
